File,Function,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD
C:\__PR00F__\___developing___\projects\Console\CConsole\src\CConsole.cpp,CConsole::getConsoleInstance(const char* loggerModuleName),8,7,5,2,1,0,0,0,
C:\__PR00F__\___developing___\projects\Console\CConsole\src\CConsole.cpp,CConsole::getLoggingState(const char* loggerModuleName) const,10,7,5,5,3,0,0,0,
C:\__PR00F__\___developing___\projects\Console\CConsole\src\CConsole.cpp,"CConsole::SetLoggingState(const char* loggerModuleName, bool state)",7,5,4,1,2,0,0,0,
C:\__PR00F__\___developing___\projects\Console\CConsole\src\CConsole.cpp,CConsole::SetErrorsAlwaysOn(bool state),7,5,4,1,2,0,0,0,
C:\__PR00F__\___developing___\projects\Console\CConsole\src\CConsole.cpp,"CConsole::Initialize(const char* title, bool createLogFile, const std::string& sFilenameAux)",137,113,73,13,14,0,10,122,
C:\__PR00F__\___developing___\projects\Console\CConsole\src\CConsole.cpp,CConsole::Deinitialize(),14,12,7,2,2,0,0,0,
C:\__PR00F__\___developing___\projects\Console\CConsole\src\CConsole.cpp,CConsole::isInitialized() const,3,3,3,1,0,0,0,0,
C:\__PR00F__\___developing___\projects\Console\CConsole\src\CConsole.cpp,CConsole::getIndent() const,7,5,4,3,2,0,0,0,
C:\__PR00F__\___developing___\projects\Console\CConsole\src\CConsole.cpp,CConsole::SetIndent(int value),9,7,4,1,2,0,0,0,
C:\__PR00F__\___developing___\projects\Console\CConsole\src\CConsole.cpp,CConsole::Indent(),9,7,4,1,2,0,0,0,
C:\__PR00F__\___developing___\projects\Console\CConsole\src\CConsole.cpp,CConsole::IndentBy(int value),9,7,4,1,2,0,0,0,
C:\__PR00F__\___developing___\projects\Console\CConsole\src\CConsole.cpp,CConsole::Outdent(),9,7,4,1,2,0,0,0,
C:\__PR00F__\___developing___\projects\Console\CConsole\src\CConsole.cpp,CConsole::OutdentBy(int value),9,7,4,1,2,0,0,0,
C:\__PR00F__\___developing___\projects\Console\CConsole\src\CConsole.cpp,CConsole::LoadColors(),9,7,4,1,2,0,0,0,
C:\__PR00F__\___developing___\projects\Console\CConsole\src\CConsole.cpp,CConsole::SaveColors(),9,7,4,1,2,0,0,0,
C:\__PR00F__\___developing___\projects\Console\CConsole\src\CConsole.cpp,CConsole::RestoreDefaultColors(),9,7,4,1,2,0,0,0,
C:\__PR00F__\___developing___\projects\Console\CConsole\src\CConsole.cpp,CConsole::getFGColor() const,7,5,4,3,2,0,0,0,
C:\__PR00F__\___developing___\projects\Console\CConsole\src\CConsole.cpp,CConsole::getFGColorHtml() const,7,5,4,3,2,0,0,0,
C:\__PR00F__\___developing___\projects\Console\CConsole\src\CConsole.cpp,"CConsole::SetFGColor(WORD clr, const char* html)",9,7,4,1,2,0,0,0,
C:\__PR00F__\___developing___\projects\Console\CConsole\src\CConsole.cpp,CConsole::getBGColor() const,7,5,4,3,2,0,0,0,
C:\__PR00F__\___developing___\projects\Console\CConsole\src\CConsole.cpp,CConsole::SetBGColor(WORD clr),9,7,4,1,2,0,0,0,
C:\__PR00F__\___developing___\projects\Console\CConsole\src\CConsole.cpp,CConsole::getIntsColor() const,7,5,4,3,2,0,0,0,
C:\__PR00F__\___developing___\projects\Console\CConsole\src\CConsole.cpp,CConsole::getIntsColorHtml() const,7,5,4,3,2,0,0,0,
C:\__PR00F__\___developing___\projects\Console\CConsole\src\CConsole.cpp,"CConsole::SetIntsColor(WORD clr, const char* html)",9,7,4,1,2,0,0,0,
C:\__PR00F__\___developing___\projects\Console\CConsole\src\CConsole.cpp,CConsole::getStringsColor() const,7,5,4,3,2,0,0,0,
C:\__PR00F__\___developing___\projects\Console\CConsole\src\CConsole.cpp,CConsole::getStringsColorHtml() const,7,5,4,3,2,0,0,0,
C:\__PR00F__\___developing___\projects\Console\CConsole\src\CConsole.cpp,"CConsole::SetStringsColor(WORD clr, const char* html)",9,7,4,1,2,0,0,0,
C:\__PR00F__\___developing___\projects\Console\CConsole\src\CConsole.cpp,CConsole::getFloatsColor() const,7,5,4,3,2,0,0,0,
C:\__PR00F__\___developing___\projects\Console\CConsole\src\CConsole.cpp,CConsole::getFloatsColorHtml() const,7,5,4,3,2,0,0,0,
